Date,Time,Day_of_week,Timestamp,Batch_ID,BRIX,COLOR_a_b,BOSTWICK_cm,pH,ACIDITY_pct,BLOTTER_TEST,SYNERESIS_pct,SALT_pct,Status,Action_Cost_EUR,Deviations
2025-06-27,09:00,Friday,2025-06-27 09:00,B0058,28.37,2.01,3.64,4.17,6.52,2.5,3.99,1.99,Accept,0,
2025-06-27,10:00,Friday,2025-06-27 10:00,B0059,28.74,2.04,4.14,4.24,6.14,2.68,4.17,2.03,Accept,0,
2025-06-27,11:00,Friday,2025-06-27 11:00,B0060,28.02,2.09,3.6,4.25,6.12,1.92,2.66,2.01,Accept,0,
2025-06-27,12:00,Friday,2025-06-27 12:00,B0061,28.07,2.11,3.32,4.24,7.89,2.03,3.7,1.94,Accept,0,
2025-06-27,13:00,Friday,2025-06-27 13:00,B0062,28.95,2.0,4.5,4.15,6.76,3.86,2.07,1.88,Accept,0,
2025-06-27,14:00,Friday,2025-06-27 14:00,B0063,28.66,2.06,4.29,4.31,6.44,3.07,3.38,2.09,Accept,0,
2025-06-27,15:00,Friday,2025-06-27 15:00,B0064,28.74,2.02,4.17,4.34,6.94,2.8,4.64,1.94,Accept,0,
2025-06-27,16:00,Friday,2025-06-27 16:00,B0065,28.36,1.87,4.63,4.17,5.71,3.01,3.63,2.12,Accept,0,
2025-06-27,17:00,Friday,2025-06-27 17:00,B0066,28.68,2.11,3.11,4.29,6.67,2.75,4.24,2.34,Accept,0,
2025-06-27,18:00,Friday,2025-06-27 18:00,B0067,28.36,2.01,2.97,4.15,8.71,4.4,4.58,2.21,Correction,450,ACIDITY_pct
2025-06-27,19:00,Friday,2025-06-27 19:00,B0068,28.51,1.97,3.73,4.24,6.88,2.45,4.41,2.2,Accept,0,
2025-06-27,20:00,Friday,2025-06-27 20:00,B0069,28.03,2.07,3.36,4.19,6.59,3.5,3.18,1.65,Accept,0,
2025-06-27,21:00,Friday,2025-06-27 21:00,B0070,28.74,1.78,7.92,4.32,7.59,4.73,5.58,2.06,Correction,450,"COLOR_a_b, BOSTWICK_cm"
2025-06-27,22:00,Friday,2025-06-27 22:00,B0071,28.69,1.96,3.2,4.33,6.59,3.06,3.74,2.12,Accept,0,
2025-06-27,23:00,Friday,2025-06-27 23:00,B0072,28.62,2.14,2.98,4.31,6.42,2.74,3.09,1.75,Accept,0,
2025-06-28,00:00,Saturday,2025-06-28 00:00,B0073,28.52,2.1,4.76,4.17,5.75,2.84,3.01,1.98,Accept,0,
2025-06-28,01:00,Saturday,2025-06-28 01:00,B0074,27.66,2.05,3.86,4.26,7.42,3.68,3.61,1.83,Critical Waste,6000,BRIX
2025-06-28,02:00,Saturday,2025-06-28 02:00,B0075,28.6,2.06,3.59,4.23,6.11,3.4,3.72,2.02,Accept,0,
2025-06-28,03:00,Saturday,2025-06-28 03:00,B0076,28.59,2.01,3.57,4.23,6.37,3.9,1.94,2.16,Accept,0,
2025-06-28,04:00,Saturday,2025-06-28 04:00,B0077,28.19,2.07,4.17,4.2,6.43,3.32,4.38,1.8,Accept,0,
2025-06-28,05:00,Saturday,2025-06-28 05:00,B0078,28.93,2.15,4.43,4.15,6.24,3.29,2.94,2.11,Accept,0,
2025-06-28,06:00,Saturday,2025-06-28 06:00,B0079,28.88,1.97,4.14,4.24,7.32,2.4,3.34,1.86,Accept,0,
2025-06-28,07:00,Saturday,2025-06-28 07:00,B0080,28.76,1.76,5.79,4.27,7.08,5.05,4.15,1.65,Correction,450,"COLOR_a_b, BLOTTER_TEST"
2025-06-28,08:00,Saturday,2025-06-28 08:00,B0081,28.86,1.94,4.75,4.09,5.62,2.67,4.48,2.0,Correction,450,pH
2025-06-28,09:00,Saturday,2025-06-28 09:00,B0082,28.47,2.05,4.18,4.12,5.83,3.45,3.92,1.97,Accept,0,
2025-06-28,10:00,Saturday,2025-06-28 10:00,B0083,24.57,1.72,5.06,4.66,11.51,7.58,6.8,2.51,Critical Waste,6000,"BRIX, COLOR_a_b, pH, ACIDITY_pct, BLOTTER_TEST, SYNERESIS_pct, SALT_pct"
2025-06-28,11:00,Saturday,2025-06-28 11:00,B0084,28.69,2.13,5.0,4.28,5.58,2.23,3.36,2.0,Accept,0,
2025-06-28,12:00,Saturday,2025-06-28 12:00,B0085,28.48,2.07,3.14,4.25,5.74,2.52,4.74,1.87,Accept,0,
2025-06-28,13:00,Saturday,2025-06-28 13:00,B0086,28.27,2.26,4.3,4.23,6.07,3.42,3.4,2.02,Accept,0,
2025-06-28,14:00,Saturday,2025-06-28 14:00,B0087,28.01,2.13,3.79,4.23,6.59,2.8,5.18,1.99,Accept,0,
2025-06-28,15:00,Saturday,2025-06-28 15:00,B0088,28.85,2.01,4.38,4.28,6.81,2.06,3.29,1.96,Accept,0,
2025-06-28,16:00,Saturday,2025-06-28 16:00,B0089,27.94,1.92,5.99,4.32,8.15,4.62,6.54,2.27,Critical Waste,6000,"BRIX, ACIDITY_pct, SYNERESIS_pct"
2025-06-28,17:00,Saturday,2025-06-28 17:00,B0090,28.58,1.92,4.26,4.23,6.64,2.23,3.04,2.16,Accept,0,
2025-06-28,18:00,Saturday,2025-06-28 18:00,B0091,29.16,1.94,3.85,4.46,6.38,4.5,3.75,2.32,Correction,450,pH
2025-06-28,19:00,Saturday,2025-06-28 19:00,B0092,28.53,2.01,4.87,4.23,7.02,2.11,3.99,2.13,Accept,0,
2025-06-28,20:00,Saturday,2025-06-28 20:00,B0093,28.85,2.05,4.73,4.18,6.25,1.51,4.44,2.05,Accept,0,
2025-06-28,21:00,Saturday,2025-06-28 21:00,B0094,25.83,1.92,9.87,4.45,9.08,6.08,5.48,1.93,Critical Waste,6000,"BRIX, BOSTWICK_cm, ACIDITY_pct, BLOTTER_TEST"
2025-06-28,22:00,Saturday,2025-06-28 22:00,B0095,27.92,1.95,3.36,4.26,6.42,2.5,5.42,1.9,Correction,450,BRIX
2025-06-28,23:00,Saturday,2025-06-28 23:00,B0096,28.66,2.09,4.17,4.37,6.18,2.68,3.36,1.92,Accept,0,
2025-06-29,00:00,Sunday,2025-06-29 00:00,B0097,28.43,2.04,3.78,4.15,6.9,3.63,4.04,1.94,Accept,0,
2025-06-29,01:00,Sunday,2025-06-29 01:00,B0098,28.67,1.93,4.93,4.33,6.19,2.77,4.0,2.05,Accept,0,
2025-06-29,02:00,Sunday,2025-06-29 02:00,B0099,28.3,2.06,2.95,4.14,6.94,2.43,3.21,2.0,Accept,0,
2025-06-29,03:00,Sunday,2025-06-29 03:00,B0100,28.42,2.07,3.99,4.29,7.76,2.68,3.46,2.16,Accept,0,
2025-06-29,04:00,Sunday,2025-06-29 04:00,B0101,28.03,2.09,4.14,4.24,6.97,3.25,4.08,2.11,Accept,0,
2025-06-29,05:00,Sunday,2025-06-29 05:00,B0102,28.97,2.14,4.83,4.26,6.42,3.09,4.64,1.88,Accept,0,
2025-06-29,06:00,Sunday,2025-06-29 06:00,B0103,28.75,2.08,3.86,4.22,6.91,2.11,3.82,2.01,Accept,0,
2025-06-29,07:00,Sunday,2025-06-29 07:00,B0104,28.83,2.22,3.82,4.23,6.62,3.95,3.73,2.04,Accept,0,
2025-06-29,08:00,Sunday,2025-06-29 08:00,B0105,28.66,2.08,3.89,4.2,6.32,3.1,2.53,2.14,Accept,0,
2025-06-29,09:00,Sunday,2025-06-29 09:00,B0106,28.4,2.08,4.94,4.22,6.22,4.13,2.79,1.67,Accept,0,
2025-06-29,10:00,Sunday,2025-06-29 10:00,B0107,28.83,2.13,4.67,4.3,6.39,2.31,3.72,2.09,Accept,0,
2025-06-29,11:00,Sunday,2025-06-29 11:00,B0108,28.07,1.99,3.97,4.23,6.38,3.21,2.92,2.22,Accept,0,
2025-06-29,12:00,Sunday,2025-06-29 12:00,B0109,28.85,1.95,4.88,4.26,8.07,4.72,5.55,2.15,Correction,450,ACIDITY_pct
2025-06-29,13:00,Sunday,2025-06-29 13:00,B0110,28.67,2.11,3.95,4.31,6.16,4.08,3.77,1.79,Accept,0,
2025-06-29,14:00,Sunday,2025-06-29 14:00,B0111,28.04,2.1,3.62,4.28,6.36,2.98,3.68,1.9,Accept,0,
2025-06-29,15:00,Sunday,2025-06-29 15:00,B0112,28.05,2.11,4.47,4.25,6.02,2.97,3.8,1.83,Accept,0,
2025-06-29,16:00,Sunday,2025-06-29 16:00,B0113,28.78,2.19,3.47,4.22,6.37,2.95,3.67,1.89,Accept,0,
2025-06-29,17:00,Sunday,2025-06-29 17:00,B0114,29.23,2.1,3.66,4.25,7.2,3.55,3.84,1.9,Accept,0,
2025-06-29,18:00,Sunday,2025-06-29 18:00,B0115,28.74,2.1,3.65,4.29,6.56,3.57,3.66,2.2,Accept,0,
2025-06-29,19:00,Sunday,2025-06-29 19:00,B0116,29.21,2.07,3.61,4.19,6.34,3.25,4.17,1.91,Accept,0,
2025-06-29,20:00,Sunday,2025-06-29 20:00,B0117,29.64,2.04,3.44,4.27,5.94,3.34,3.45,2.03,Accept,0,
2025-06-29,21:00,Sunday,2025-06-29 21:00,B0118,28.51,1.92,4.24,4.26,6.26,3.94,2.94,1.78,Accept,0,
2025-06-29,22:00,Sunday,2025-06-29 22:00,B0119,24.16,2.0,7.34,4.91,7.87,5.64,8.7,2.37,Critical Waste,6000,"BRIX, BOSTWICK_cm, pH, BLOTTER_TEST, SYNERESIS_pct"
2025-06-29,23:00,Sunday,2025-06-29 23:00,B0120,29.12,2.16,3.62,4.24,6.75,3.16,3.41,1.9,Accept,0,
2025-06-30,00:00,Monday,2025-06-30 00:00,B0121,26.99,1.66,5.02,4.54,9.34,8.09,4.15,2.39,Critical Waste,6000,"BRIX, COLOR_a_b, pH, ACIDITY_pct, BLOTTER_TEST"
2025-06-30,01:00,Monday,2025-06-30 01:00,B0122,28.47,1.96,3.22,4.29,6.27,3.21,3.77,2.07,Accept,0,
2025-06-30,02:00,Monday,2025-06-30 02:00,B0123,27.87,2.07,3.84,4.29,6.82,2.16,3.21,2.08,Correction,450,BRIX
2025-06-30,03:00,Monday,2025-06-30 03:00,B0124,28.49,2.22,4.23,4.25,7.02,3.14,3.62,1.97,Accept,0,
2025-06-30,04:00,Monday,2025-06-30 04:00,B0125,28.62,1.99,3.92,4.16,6.41,3.27,3.39,2.0,Accept,0,
2025-06-30,05:00,Monday,2025-06-30 05:00,B0126,28.92,2.08,4.6,4.05,7.54,2.92,4.58,1.84,Correction,450,pH
2025-06-30,06:00,Monday,2025-06-30 06:00,B0127,28.7,2.0,4.64,4.21,6.77,2.45,3.78,2.3,Accept,0,
2025-06-30,07:00,Monday,2025-06-30 07:00,B0128,28.67,2.13,4.66,4.29,6.82,2.31,4.94,1.83,Accept,0,
2025-06-30,08:00,Monday,2025-06-30 08:00,B0129,28.95,2.03,4.2,4.31,6.78,3.21,2.62,1.86,Accept,0,
2025-06-30,09:00,Monday,2025-06-30 09:00,B0130,28.81,2.11,3.82,4.3,6.42,3.08,3.68,2.0,Accept,0,
2025-06-30,10:00,Monday,2025-06-30 10:00,B0131,28.15,1.92,3.47,4.31,5.72,2.82,2.89,1.91,Accept,0,
2025-06-30,11:00,Monday,2025-06-30 11:00,B0132,29.17,2.13,3.59,4.36,6.99,2.81,2.05,2.34,Accept,0,
2025-06-30,12:00,Monday,2025-06-30 12:00,B0133,28.2,1.93,4.87,4.11,7.66,3.44,4.28,2.09,Accept,0,
2025-06-30,13:00,Monday,2025-06-30 13:00,B0134,28.87,2.07,4.06,4.22,6.12,2.83,2.61,1.99,Accept,0,
2025-06-30,14:00,Monday,2025-06-30 14:00,B0135,28.94,2.0,2.85,4.24,7.26,3.46,3.38,1.76,Accept,0,
2025-06-30,15:00,Monday,2025-06-30 15:00,B0136,28.79,1.97,4.06,4.14,6.2,3.19,2.68,2.07,Accept,0,
2025-06-30,16:00,Monday,2025-06-30 16:00,B0137,29.3,1.94,3.69,4.31,7.88,4.14,6.45,2.1,Correction,450,SYNERESIS_pct
2025-06-30,17:00,Monday,2025-06-30 17:00,B0138,28.25,1.85,2.54,4.61,6.5,3.31,4.14,2.22,Critical Waste,6000,pH
2025-06-30,18:00,Monday,2025-06-30 18:00,B0139,29.24,1.98,4.14,4.17,7.61,2.26,4.17,1.89,Accept,0,
2025-06-30,19:00,Monday,2025-06-30 19:00,B0140,28.51,1.93,4.56,4.27,8.27,6.21,4.33,1.66,Correction,450,"ACIDITY_pct, BLOTTER_TEST"
2025-06-30,20:00,Monday,2025-06-30 20:00,B0141,28.71,2.05,4.25,4.17,5.78,1.85,4.48,2.17,Accept,0,
2025-06-30,21:00,Monday,2025-06-30 21:00,B0142,27.35,1.94,6.93,4.51,8.92,4.98,6.53,1.81,Critical Waste,6000,"BRIX, BOSTWICK_cm, pH, ACIDITY_pct, SYNERESIS_pct"
2025-06-30,22:00,Monday,2025-06-30 22:00,B0143,28.33,2.05,3.63,4.26,7.02,3.07,4.12,2.32,Accept,0,
2025-06-30,23:00,Monday,2025-06-30 23:00,B0144,29.03,1.95,5.0,4.25,6.15,2.97,4.19,2.01,Accept,0,
2025-07-01,00:00,Tuesday,2025-07-01 00:00,B0145,28.25,2.1,3.45,4.22,7.29,2.82,4.72,1.82,Accept,0,
2025-07-01,01:00,Tuesday,2025-07-01 01:00,B0146,28.22,2.02,4.73,4.23,7.66,3.24,3.93,1.95,Accept,0,
2025-07-01,02:00,Tuesday,2025-07-01 02:00,B0147,28.78,2.1,3.36,4.17,6.15,2.86,3.86,2.11,Accept,0,
2025-07-01,03:00,Tuesday,2025-07-01 03:00,B0148,28.21,1.88,4.23,4.37,6.5,3.5,3.86,1.99,Accept,0,
2025-07-01,04:00,Tuesday,2025-07-01 04:00,B0149,28.8,2.1,3.7,4.21,5.91,2.79,3.07,2.2,Accept,0,
2025-07-01,05:00,Tuesday,2025-07-01 05:00,B0150,28.13,1.77,7.46,4.71,10.89,7.34,7.52,1.78,Critical Waste,6000,"COLOR_a_b, BOSTWICK_cm, pH, ACIDITY_pct, BLOTTER_TEST, SYNERESIS_pct"
2025-07-01,06:00,Tuesday,2025-07-01 06:00,B0151,28.47,1.97,4.3,4.22,5.6,2.61,1.78,2.04,Accept,0,
2025-07-01,07:00,Tuesday,2025-07-01 07:00,B0152,28.18,2.1,4.92,4.29,6.39,3.89,3.9,1.95,Accept,0,
2025-07-01,08:00,Tuesday,2025-07-01 08:00,B0153,25.65,1.64,6.95,4.41,9.8,5.56,7.52,2.01,Critical Waste,6000,"BRIX, COLOR_a_b, BOSTWICK_cm, ACIDITY_pct, BLOTTER_TEST, SYNERESIS_pct"
2025-07-01,09:00,Tuesday,2025-07-01 09:00,B0154,27.16,1.88,8.92,4.25,6.95,7.9,5.45,2.21,Critical Waste,6000,"BRIX, BOSTWICK_cm, BLOTTER_TEST"
2025-07-01,10:00,Tuesday,2025-07-01 10:00,B0155,29.02,2.02,4.53,4.27,6.49,2.9,3.53,2.0,Accept,0,
2025-07-01,11:00,Tuesday,2025-07-01 11:00,B0156,28.41,2.08,3.11,4.23,6.49,3.35,3.88,1.85,Accept,0,
2025-07-01,12:00,Tuesday,2025-07-01 12:00,B0157,28.18,2.05,4.7,4.17,5.35,2.73,3.19,1.66,Accept,0,
2025-07-01,13:00,Tuesday,2025-07-01 13:00,B0158,28.37,2.13,3.64,4.33,6.84,2.71,5.31,1.91,Accept,0,
2025-07-01,14:00,Tuesday,2025-07-01 14:00,B0159,28.7,2.11,3.62,4.23,5.9,3.04,3.86,2.26,Accept,0,
2025-07-01,15:00,Tuesday,2025-07-01 15:00,B0160,28.47,2.06,3.19,4.16,7.1,2.61,3.07,2.08,Accept,0,
2025-07-01,16:00,Tuesday,2025-07-01 16:00,B0161,28.7,1.99,3.53,4.27,6.8,3.79,2.92,1.92,Accept,0,
2025-07-01,17:00,Tuesday,2025-07-01 17:00,B0162,29.06,2.09,4.27,4.35,6.18,3.56,3.84,2.04,Accept,0,
2025-07-01,18:00,Tuesday,2025-07-01 18:00,B0163,28.86,2.1,3.49,4.24,6.78,2.87,3.38,1.81,Accept,0,
2025-07-01,19:00,Tuesday,2025-07-01 19:00,B0164,29.32,1.96,3.87,4.2,6.65,3.49,4.4,1.91,Accept,0,
2025-07-01,20:00,Tuesday,2025-07-01 20:00,B0165,29.02,1.83,6.2,4.27,8.21,4.73,3.75,2.13,Critical Waste,6000,"COLOR_a_b, BOSTWICK_cm, ACIDITY_pct"
2025-07-01,21:00,Tuesday,2025-07-01 21:00,B0166,28.74,2.0,3.68,4.26,7.12,3.01,4.02,2.26,Accept,0,
2025-07-01,22:00,Tuesday,2025-07-01 22:00,B0167,27.94,2.06,5.09,4.26,6.66,3.54,3.36,2.07,Correction,450,BRIX
2025-07-01,23:00,Tuesday,2025-07-01 23:00,B0168,28.53,1.98,3.65,4.26,7.33,3.24,2.96,2.07,Accept,0,
2025-07-02,00:00,Wednesday,2025-07-02 00:00,B0169,28.7,2.17,3.13,4.15,6.27,2.51,3.23,1.69,Accept,0,
2025-07-02,01:00,Wednesday,2025-07-02 01:00,B0170,28.68,2.12,3.15,4.11,5.74,3.76,3.41,2.38,Accept,0,
2025-07-02,02:00,Wednesday,2025-07-02 02:00,B0171,28.64,1.99,5.12,4.33,7.32,3.57,3.36,2.12,Accept,0,
2025-07-02,03:00,Wednesday,2025-07-02 03:00,B0172,28.31,2.05,3.9,4.19,6.85,3.57,3.86,2.22,Accept,0,
2025-07-02,04:00,Wednesday,2025-07-02 04:00,B0173,28.45,1.98,3.49,4.21,6.74,2.18,3.93,2.09,Accept,0,
2025-07-02,05:00,Wednesday,2025-07-02 05:00,B0174,29.03,2.1,3.86,4.16,6.31,3.65,5.12,2.23,Accept,0,
2025-07-02,06:00,Wednesday,2025-07-02 06:00,B0175,28.11,1.96,3.68,4.27,5.55,3.1,4.52,1.97,Accept,0,
2025-07-02,07:00,Wednesday,2025-07-02 07:00,B0176,28.78,2.01,3.3,4.05,6.49,4.06,4.96,1.93,Correction,450,pH
2025-07-02,08:00,Wednesday,2025-07-02 08:00,B0177,28.72,1.96,4.24,4.19,6.68,3.07,3.12,1.87,Accept,0,
2025-07-02,09:00,Wednesday,2025-07-02 09:00,B0178,28.52,2.08,4.55,4.17,7.25,2.84,3.79,1.89,Accept,0,
2025-07-02,10:00,Wednesday,2025-07-02 10:00,B0179,28.64,1.96,2.94,4.16,6.62,3.05,4.29,2.01,Accept,0,
2025-07-02,11:00,Wednesday,2025-07-02 11:00,B0180,28.05,2.01,4.48,4.14,6.65,2.19,4.13,1.99,Accept,0,
2025-07-02,12:00,Wednesday,2025-07-02 12:00,B0181,28.32,2.02,3.74,4.19,6.82,2.73,4.51,2.4,Accept,0,
2025-07-02,13:00,Wednesday,2025-07-02 13:00,B0182,28.75,2.11,4.11,4.2,6.09,3.05,3.05,1.56,Accept,0,
2025-07-02,14:00,Wednesday,2025-07-02 14:00,B0183,28.44,2.21,5.06,4.16,6.14,3.04,4.78,2.01,Accept,0,
2025-07-02,15:00,Wednesday,2025-07-02 15:00,B0184,28.37,1.99,3.71,4.16,6.56,3.97,4.03,1.96,Accept,0,
2025-07-02,16:00,Wednesday,2025-07-02 16:00,B0185,28.42,2.03,4.94,4.29,7.45,3.26,5.1,2.22,Accept,0,
2025-07-02,17:00,Wednesday,2025-07-02 17:00,B0186,28.7,1.99,3.74,4.29,6.56,2.14,4.44,1.9,Accept,0,
